tcpDumpTimestamp;User_Name;NAS_IP_Address;Framed_IP_Address;NAS_Identifier;Acct_Status_Type;Acct_Delay_Time;Acct_Input_Octets;Acct_Output_Octets;Acct_Session_Id;Acct_Input_Gigawords;Acct_Output_Gigawords;Event_Timestamp;Framed_IP_Netmask;Acct_Unique_Session_Id;Timestamp
Tue Jun  9 00:03:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;410536;1117830;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 00:03:47 CEST;255.255.255.255;3a48eb713547a3be;1433801028;
Tue Jun  9 00:08:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;101750;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 00:08:19 CEST;255.255.255.255;a4a559c8c5d03422;1433801299;
Tue Jun  9 00:13:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;420552;1136665;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 00:13:47 CEST;255.255.255.255;3a48eb713547a3be;1433801628;
Tue Jun  9 00:18:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;102545;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 00:18:19 CEST;255.255.255.255;a4a559c8c5d03422;1433801899;
Tue Jun  9 00:23:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;430230;1152518;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 00:23:47 CEST;255.255.255.255;3a48eb713547a3be;1433802228;
Tue Jun  9 00:28:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;102715;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 00:28:19 CEST;255.255.255.255;a4a559c8c5d03422;1433802499;
Tue Jun  9 00:33:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;431322;1159422;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 00:33:47 CEST;255.255.255.255;3a48eb713547a3be;1433802828;
Tue Jun  9 00:38:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;102949;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 00:38:19 CEST;255.255.255.255;a4a559c8c5d03422;1433803099;
Tue Jun  9 00:43:48 2015;taki_dsl_p;192.168.53.11;78.92.255.12;MT_HAAP_INFOG;Interim-Update;0;436053;1169225;MT_HAAP030000000000000d6cf6283648;0;0;Jun  9 2015 00:43:47 CEST;255.255.255.255;3a48eb713547a3be;1433803428;
Tue Jun  9 00:48:19 2015;elemerA016_dsl;192.168.53.11;78.92.255.8;MT_HAAP_INFOG;Interim-Update;0;83790;103099;MT_HAAP020000000000001db25e283653;0;0;Jun  9 2015 00:48:19 CEST;255.255.255.255;a4a559c8c5d03422;1433803699;
